data,label
"Good morning,
My name is Brian Anthony Utz and I am a lifelong Arizona resident from the Verde Valley.
I’m attending this morning’s meeting with the intention to voice my concerns regarding the
potential use of Haystaq for Arizona’s redistricting process.
The fact that Haystaq has received blatantly favorable support from the Democratic Party,
former President Barack Obama, and presidential hopeful/Senator Bernie Sanders is
reason enough to warrant to concern of Arizona citizens in a time where election integrity
is of concern for the majority of Americans.
The use of Haystaq, an openly biased company, is an extremely inappropriate choice for
the state of Arizona, as Arizona is a state with a diverse political background that is home
to closely equal representation of both parties.
For this reason, I urge you to look beyond Haystaq as a candidate for redistricting needs.
Thank you.",no_haystaq_bernie_obama#other#unbiased
Say NO to Haystaq for district mapping,no_haystaq_bernie_obama
"As an Independent body AIRC should also hire an independent company to do
redistricting maps. It is only fair to the AZ voters and taxpayers to know that AIRC did not
hire a company founded by campaign operatives, whose board of directors and corporate
officers are beholden to a certain party and their candidates. Do the right thing and do not
hire Haystaq DNA.",no_haystaq_bernie_obama
I do not support using Haystaq,no_haystaq_bernie_obama
"In this politically charged environment of hyper partisanship, the goal of an independent
commission should be neutrality. Consideration of HastaqDNA, a firm that touts its ties to
the success of the Obama and Sanders campaigns as their mission statement, should be
an obvious reason for disqualification.  The mere suggestion of hiring this firm casts doubt
as to whether or not the Redistricting Commission is in fact a neutral body. If the optics of
the political atmosphere in Arizona aren’t bad enough, why would anyone willingly choose
to throw gasoline on the fire by even considering this firm? Any rational thinking individual
would come to the same conclusion, and state unequivocally this proposal is a non-
starter.",no_haystaq_bernie_obama
"It is inappropriate to use Systemic Telemtry. Not only is it a biased company, it is funded
by one party at the national level. We are not looking for perfection, we want honesty.",no_haystaq_bernie_obama#unbiased#other
"Residents of Arizona are trusting the Commission to choose a mapping firm that has a
proven reputation of integrity and competence. This decision is consequential for the
Commission’s desire to prioritize the public trust of all Arizonans.
From the short list of firms submitting proposals, one firm stands out as having proven
itself to produce the fair and balanced maps that have withstood the test of scrutiny by the
courts across the country and here in Arizona. I encourage you to select Haystaq DNA
LLC as your mapping consultant.
Unfortunately, the NDC/Timmons Group has a record of disputed and rejected work in
various states around the country, including Arizona. Please consider the following cases:
In 2019, the West Contra Costa Unified School District (California) found that maps
produced by the NDC were in violation of the California Voting Rights Act and the US
Voting Rights Act.
In 2018-2019, the Redwood City Council (California) was forced to redraw maps produced
by NDC after they failed to create majority-minority maps for this city. This “error” cost the
city both time and cost.
In 2019, a North Carolina 3-judge panel found that NDC produced gerrymandered maps.
In 2018, Kern County won a court case that ruled that maps drawn by NDC violated the
Latino community’s ability to elect candidates of their choice.
And finally, during Arizona’s first IRC redistricting effort, maps drawn by NDC were
rejected by the courts for violating the Voting Rights Act and were ruled unconstitutional.
The record speaks for itself. I encourage you to reject NDC/Timmons Group.",no_NDC#other
"It is inappropriate to use an obviously biased company for Arizona’s redistricting mapping
process. Bernie Sanders and Barack Obama should have zero say in what our maps look
like, and these companies are funded by them at the national level. We want you to hire
the National Demographics Corporation – Douglas Johnson in order to assure Arizonans
of fair representation and elections. The “Independent” Review Council should make
amends for ten years of incompetence and corruption. The commissioners met as many
as five times at the home of the AZ Democratic Party’s Executive Director!",yes_NDC#no_haystaq_bernie_obama#unbiased
"Redistricting is supposed to be impartial and fair.  Why would the AIRC even entertain the
thought of hiring Haystaq which is a Obama and Bernie’s data company to manage map
creation for redistricting? They are clearly partisan company, and the approval of this
company makes Arizona ripe for gerrymandering. PLEASE VOTE NO!!!",no_haystaq_bernie_obama
"Haystaq Is NOT a reputable company, being tied to the Clintons, to represent our
important state redistricting.",no_haystaq_bernie_obama
"I participated in the Redistricting meetings in 2011.  The AIRC was anything but
independent.  They chose a highly partisan mapping company (Strategic Telemetry) used
by Pres Obama to create district lines. Please do not subject AZ citizens to that injustice
again by selecting another partisan mapping company.  Hastaq is the microtargeting firm
used by Pres Obama & Senator Sanders.  Their employees have contr buted financially to
ActBlue, a nonprofit Democratic fundraising platform, as well as numerous Democratic
candidates and organizations.  They should not have anything to do with Arizona's
mapping process.",no_haystaq_bernie_obama
Haystack is too biased of a company to use.,no_haystaq_bernie_obama#unbiased
"it is totally inappropriate to use the Biased company Haystaq with their National funding to
affect the Redistricting mapping process in Arizona! Please do NOT select them!  We
need a totally independent company!",no_haystaq_bernie_obama#unbiased
"We need this commission to be unbiased in the fulfillment of its duties.  Using a mapping
software that has no connections to one particular party is the only way to accomplish this.
Let's make sure this commission is above reproach.  NO Haystaq is the only way to be
sure this happens.",no_haystaq_bernie_obama#unbiased
Request that the IRC does not hire Haystaq company because it is too partisan.,no_haystaq_bernie_obama
"Arthur Boren
Citizen Arizona CD1
Veteran
HaystaqDNA is a reborn Strategic Telemetry that gave Arizona the current maps that
nearly lost the Republican majority in the AZ House and Senate, split the cities of Casa
Grande and Yuma into different districts, another district from Uma to Wickenburg to
Yuma, CD1 Our congressional district that is larger than most states.  And the list goes
on, clients of this firm include Obama and Bernie Sanders and they brag about helping
them make history! The CEO Ken Strasma, a staunch democrat and Obama campaign
alum was the founder and president of Strategic Telemetry, [“tell us what you want and we
will help you move the needle”], there is no way that they are non-partisan. Please do not
hire them...help restore faith in our state government.
Thank you for your time.",no_haystaq_bernie_obama#other
"Haystaq DNA is not a good match for Arizona because of their bias toward the democrat
party therefore not independent in ideology.
Looking at their website they open with “Who We Are” and continue with “We pioneered
the predictive analytics that helped the Obama campaign make history in 2008 and have
nearly two decades of experience helping companies and campaigns accurately target
their communication and marketing.”
The company president, Andrew Drechsler, in his bio says, “His expertise has benefited
races at all levels including Obama for America, Bloomberg for Mayor, the Democratic
Senate Campaign Committee, as well as a variety of international electoral campaigns.”
Mr. Drechsler also served in the Clinton Administration.
None of these statements from their own website give republicans any confidence in their
ability to be independent at all.
Gary J. Saxhaug
Anthem, AZ",no_haystaq_bernie_obama
"I think using Haystaq for redistricting is absolutely inappropriate and biased. I ask that you
NOT approve going with this company!",no_haystaq_bernie_obama#unbiased
"-My name is Caroline Wells and I have lived in Arizona for the past 23 years in the
Ahwatukee area. I am currently a masters student at ASU and am working for Turning
Point USA. I believe Bernie Sander's consulting group is too political to redraw Arizona’s
maps and he should NOT be in charge of this matter.",no_haystaq_bernie_obama#other
"Hi My name is Michelle Todd, I am from Chandler Arizona. I have stayed in Arizona
because I loved the idea of a red state. In my free time, I l ke to take my dogs to the park!",other
"I do not support, and ask the IRC to not support selection of Haystaq as the independent
data contractor to support the AZ redistricting map.  The AIRC is considering hiring
Haystaq, Obama and Bernie Sanders data company to manage map creation for
redistricting Arizona, and neither of them have any business in performing this function
inside Arizona.",no_haystaq_bernie_obama
"Hi my name is Jasmine and I’ve lived in Arizona for two years. This is not political so idk
why a  Bernie sanders consulting firm should not be in charge of redistricting Arizona.",no_haystaq_bernie_obama
No Haystaq!  Redistricting MUST BE unbiased!,no_haystaq_bernie_obama#unbiased
"I would l ke to oppose the selection of Haystaq as a mapping vendor if that is up for
debate. The Haystaq website specifically states that ""our expertise is helping our political
and commercial clients utilize big data and custom analytics to create big opportunities
and solve challenging problems."" In a mapping exercise, this should be a non-partisan
effort. Can you please provide more feedback on their mapping expertise?",no_haystaq_bernie_obama#other
"In your consideration for mapping consultants (contractors), HaystaqDNA should be
excluded from consideration due to their perceived bias of working for several partisan
organizations and candidates. As the IRC is supposed to be ""independent"", hiring such a
firm will lead to partisan disputes. I strongly urge you to disqualify HaystaqDNA from
consideration.",no_haystaq_bernie_obama#unbiased
"I adamantly oppose hiring the company HaystaqDNA to help redistrict Arizona.  How can
you even think of hiring a left-leaning company like HaystaqDNA who worked for Obama
(2008) and John Kerry (2004).  The Arizona Independent Redistricting Commission has
the word “independent” in its name “implying” it is not biased toward one party or the
other.  However, a cursory review of their website reveals that is not so.  The commission’
s job is to hire a non-partisan “independent” company that has no prior affiliations with
either party and that will meet the needs – and BE FAIR to – both Democrats and
Republicans.  HaystaqDNA is not that company.  Please do not hire HaystaqDNA; any
redistricting they come up with will favor the Democrats over the Republicans and that is
NOT FAIR.",no_haystaq_bernie_obama#unbiased
"Haystaq consultants are not an honorable organization.  They will not represent a
nonpartisan decision in the mapping process.  Please opt against this organization.",no_haystaq_bernie_obama
"It is inappropriate to use, Haystaq, a biased company for the Redistricting mapping
process. Bernie and Obama should have zero say in what our maps look like and these
guys are funded by them at the national level.",no_haystaq_bernie_obama#unbiased
"it is inappropriate to use such a biased company for the Redistricting mapping process.
Haystaq, should have zero say in what Arizona maps look l ke due to connection.  We
need a  local and knowledgeable AZ company",no_haystaq_bernie_obama#unbiased
"It is inappropriate to be considering a company, HaystaqDNA, a biased company who is
funded by the Democratics at the national level for the Redistricting mapping process.
Please consider this information. Thank you.",no_haystaq_bernie_obama#unbiased
"NO ON HAYSTAQ!!! We are NOT a democracy! We are a Constitutional Republic!
HAYSTAQ is biased. Having worked with Obama and others!
NO ON HAYSTAQ!",no_haystaq_bernie_obama#unbiased
"Regarding the company Haystaq.  It is highlyinappropriate it is to use such a biased
company  that has ties to highly liberal factions for the Redistricting mapping process. This
company does not engender trust as far as being unbiased.",no_haystaq_bernie_obama#unbiased
"Mapping consltant should be a neutral party,  Haystaq is not neutral, they are rabidly
partisan.Their website proudly features Barack Obama and Bernie Sanders.Reject this
candidate for mapping consultant.",no_haystaq_bernie_obama
I object to use of Haystaq company for the Redistricting mapping process.,no_haystaq_bernie_obama
"I object to the use of Haystaq in the redistricting process! They are BIASED, as they have
ties to Obama and Bernie Sanders.",no_haystaq_bernie_obama#unbiased
"Please do not hire such a biased company to do this redistricting.  It is unfair to hire such
a biased company to do a job like redistricting our state.  Please reconsider and make
sure this is a fair redistricting....this process should be non-partisan!",unbiased
"Redistricting must remain unbiased! The firm you are considering, I believe would not be
able to reman unbiased!",unbiased
"I am writing in regards to the Redistricting, Meeting.  It appeared that the AIRC is
considering hiring Haystaq for redistricting Arizona. This is extremely inappropriate and
very biased to use a company funded by Bernie and Obama. This is supposed to be an
Independent Redistricting Commission! PLEASE please please consider how this ...
seems anything but independent! Thank you for what you are doing! Looking forward to
hearing what you say today!",no_haystaq_bernie_obama#unbiased
"Researching the Haystaq DNA company is not an independent company.  Influenced by
former President Obama and Sen. Sanders are not independent.  We are requesting a
truly independent non partisan company do the mapping.",no_haystaq_bernie_obama
"I strongly oppose using haystackdna as a redistricting company due to their biased past
history",no_haystaq_bernie_obama#unbiased
"Please do not give the contract to Haystaq. I seriously question their objectivity and their
reputation.",no_haystaq_bernie_obama
"Please do not use Haystaq.  They are politically aligned and biased in way that gives me
no confidence that they will provide fair and unbiased mapping input. We have an
opportunity to do this right this time.  Let's do it.",no_haystaq_bernie_obama#unbiased
"I find that I am losing hope with the AIRC as a body in selecting a map creation company
when this body is entertaining selection of the HaystaqDNA Company for such map
creation.  The HaystaqDNA Company has worked in Arizona in the past.  It would be
wonderful to start off with a clean slate without a company with prior activity in the State of
Arizona. Thank you.",other#no_haystaq_bernie_obama
"It is inappropriate to use such a biased company for the AZ redistricting mapping process.
Bernie and Obama should have zero say in what our AZ maps look l ke and Haystaq is
funded by them at the national level. Using truly independent mapping companies is
critical to ensure broad public support of this commission's efforts and to ensure truly fair
maps are drawn that benefit all Arizonans.",no_haystaq_bernie_obama#unbiased
"It is absolutely ludicrous that you are considering hiring Haystaq, Obama and Bernie
Sanders data company to manage map creation for redistricting Arizona. The idea that
you would put our state at the mercy of far left liberal extremists like Obama and Bernie
Sanders is simply beyond the pale. Redistricting should be strictly nonpartisan and based
purely on statistics and, NOT the fudging of data to benefit one party -- as Haystaq would
do without question. You cannot claim that you are creating a system for redistricting that
is going to be impartial and maintain checks and balances if you hire such a partisan firm
as Haystaq. If you hire this company, you are forever tainting the work that you are doing.
We value YOUR public service, but if you make this partisan decision, you will forever
tarnish your own good reputations.",no_haystaq_bernie_obama#other
"I object to the use of Haystaq, a mapping company used by then President Obama,
Senator Sanders, and other Democratic operatives which Haystaq has supported
politically. It is inappropriate to use a biased company in the mapping process, and I
recommend serious consideration be given to alternative sources. Richard Bauerbach,
Patagonia, AZ",no_haystaq_bernie_obama#unbiased
"It's inappropriate to use such a biased company such as Haystaq, Obama and Bernie’s
data company to manage map creation for redistricting. Bernie and Obama should have
zero say in what our maps look like and these guys are funded by them at the national
level.",no_haystaq_bernie_obama#unbiased
"I am AGAINST having the Haystag Company lead the redistricting process. We need to
have an UNBIASED company leading this process. It is essential that the public has
confidence in this process. If we cannot be transparent in our actions we will never get the
confidence needed.",no_haystaq_bernie_obama#unbiased
"NO to Haystaq! Unacceptably bias company to have anything to do with Arizona
Redistricting!!",no_haystaq_bernie_obama#unbiased
"I hereby express concerns about firm, HaystaqDNA, for its ties to former President Obama
and US Senator Bernie Sanders.  HaystaqDNA is funded by groups that are far left-wing.
We should exclude them from being selected.  Thank you for your consideration of this
statement.",no_haystaq_bernie_obama
"The firm of HaystaqDNA is a partisan organization and does not have business doing
what is supposed to be an independent redistricting process.  HaystaqDNA has direct and
distinct ties to the Democratic Party and should not be considered for this process.",no_haystaq_bernie_obama
"Per posting from L2 and Haystaq (https://l2-data.com/2020/08/19/the-latest-l2-
haystaqdna-2020-models/), they state the following:
L2 and Haystaq are excited to announce our national political models, updated for 2020.
Each of the 200 million voters on the L2 voter file has a score representing their likelihood
of agreeing with any of 120 given positions.
As of June 2020, our models are now updated to include a new set of contemporary
issues:
COVID
Black Lives Matter
2020 General Election Turnout
Early Vote Voter
Absentee Ballot (Vote By Mail)
Green New Deal
Biden, Warren, Sanders Democratic Primary Supporters
They are obviously a left leaning/partisan organization. We need a more balance group
assisting with the redistricting.",no_haystaq_bernie_obama#other
"Az citizens want you to hire an unbiased, fair, independent company to perform our
Arizona redistricting. We the people of Az want you to hire National Demographics Corp..
Thank you.",yes_NDC#unbiased
"Please say NO to Haystaq!  You are suppose to be an INDEPENDENT commission, and
using an obviously biased, national firm used by Obama is highly inappropriate.  How can
we trust you if you hire Haystaq.  This issue is too important and will only make the
mistrust worse.",no_haystaq_bernie_obama#unbiased
"It is inappropriate to use an obviously biased company for Arizona’s redistricting mapping
process. Bernie Sanders and Barack Obama should have zero say in what our maps look
like, and these companies are funded by them at the national level. We want you to hire
the National Demographics Corporation – Douglas Johnson in order to assure Arizonans
of fair representation and elections. The “Independent” Review Council should make
amends for ten years of incompetence and corruption. The commissioners met as many
as five times at the home of the AZ Democratic Party’s Executive Director!",yes_NDC#no_haystaq_bernie_obama#unbiased
NO outside firm should be involved in redistricting of Arizona!,other
I'm  requesting this work be done by another  less politically charged company..,other
"It is my opinion that it is inappropriate to use a company that is bias for redistricting and
mapping process. HAystaq is a company supported by people who's agenda is not
independent.",no_haystaq_bernie_obama#unbiased
"Please consider qualifications and competence in your selection of a mapping company.
As a resident of Legislative District 2, Precinct 84, I have spent the last 10 years with no
representation in a district which was mapped as neither competitive nor a community of
interest. Encapsulated in a community that is captured by the boundaries of South Tucson
and Nogales created an opportunity to cut off one of the largest Republican precincts in
Pima County which was nothing more than a political move. Haystaq is a spin off of
Strategic Telemetry.  Strategic Telemetry did not have the competence or qualifications to
quantify the demographic data provided by the census in 2010 and were politically
motivated to favor the State political alignment rather than the Arizona citizens and their
communities. They did not demonstrate quantitative analysis skills or critical thinking in the
alignment of communities of interest and left many communities underrepresented in the
State Legislature. The focus of the last redistricting was nothing more than political
maneuvering and Haystaq will do no better. Please consider past performance as well as
carry-over personnel as you make these critical decisions which affect the citizens of
Arizona, the State, and our country.",no_haystaq_bernie_obama#other
"I believe it is inappropriate to use Hatstaq, a biased company, for the Redistricting
mapping process. This company, associated with Bernie Sanders and former president
Obama, should have zero say in what our maps look l ke, and they are funded  at the
national level.",no_haystaq_bernie_obama#unbiased
No Haystaq.  Haystaq is a biased organization.,no_haystaq_bernie_obama#unbiased
"I request that you do not use haystaq to do our redistricting in AZ. I have reservations that
it will be done fairly. My trust level is at an all time low in our Democrat government
officials representing conservative constituents. Thank you for your time",no_haystaq_bernie_obama
Who are the three companies bidding on the contracts,other
"HaystaqDNA
is not an
appropriate
firm to
consider to do
the job.  This
is a biased
company,
funded by the
Democrats at
the national
level, for the
Redistricting
mapping
process. I am
against using
this company
for the job.
Find another
option.
Thank you for this opportunity to participate.",no_haystaq_bernie_obama#unbiased
"Please do your due diligence in protecting the integrity of the redistricting process. No
consultant firm should be affiliated with a political organization or candidate. Regarding
your comment about having trust in the commission -- trust is at a premium and we cannot
be naive. I encourage you to carefully scrutinize HaystaqDNA. Thank you.",no_haystaq_bernie_obama
"I believe that Haystack is unacceptable and potentially biased in the redistricting process.
We need unbiased persons in this extremely important issue.  I say NO to Hatstack!!",no_haystaq_bernie_obama#unbiased
"We should not use Haystaq system for map redistricting which is owned by Obama and
Bernie Sanders. That is completely bias and they should have no say in our redistricting in
AZ.",no_haystaq_bernie_obama#unbiased
"Redistricting
should be
unbiased to
ensure
election
integrity. Rick
Seybold
taxpayer
NO to Haystaq! Redistricting SHALL  be unbiased to ensure election integrity.",no_haystaq_bernie_obama#unbiased
My husband John Cipro and I object to hiring the Haystaq firm.,no_haystaq_bernie_obama
"I feel it is grossly inappropriate to use a firm that is politically biased. I request that an
independent firm be hired to ensure that our mapping is fair for all parties.",unbiased
"Very inappropriate to use such a biased company for the mapping process. Bernie and
Obama should have zero say in what our maps look like. We want the National
Demographics Corporation - Douglas Johnson in order to assure Arizonans of fair
representation elections.",yes_NDC#unbiased#no_haystaq_bernie_obama
I'm NOT in favor of Haystaq and say NO!!!!! Unacceptable and biased.,no_haystaq_bernie_obama#unbiased
"It is inappropriate to use an obviously biased company for Arizona’s redistricting mapping
process. Bernie Sanders and Barack Obama should have zero say in what our maps look
like, and these companies are funded by them at the national level.
We want you to hire the National Demographics Corporation – Douglas Johnson in order
to assure Arizonans of fair representation and elections.
The “Independent” Review Council should make amends for ten years of incompetence
and corruption. The commissioners met as many as five times at the home of the AZ
Democratic Party’s Executive Director!",yes_NDC#unbiased#no_haystaq_bernie_obama
"Haystaq must be removed from consideration. How was this ever even allowed for
consideration due to the incred ble bias from it being a Left wing company, Obama and
Bernie Sanders' data company.
Redistricting should remain unbiased, period. It will affect us for the next decade. High
responsibility and duty to remain unbiased.",no_haystaq_bernie_obama#unbiased
"How is it possible that the so called Independent Redistricting Commission is even
considering using a firm tied to politicians on either side of the spectrum? With everything
that happened last fall you should avoid anything that can be seen as partisan in any way.
I will never support the hiring of Haystaq to be involved in this process in any way, shape,
or form. I do not think its possible to find a more partisan company to manage map
creation in Arizona",no_haystaq_bernie_obama
"It is very inappropriate to have biased company like Haystaq, Obama and Bernie's data
company,  to manage map creatio for redistricting.  I have no faith in this company
providing fair and unbiased work.  Bernie and Obama should habe zero say in what our
maps in Arizona look like.  Haystaq is funded by them both on a national level. Please do
what is right and best for the state of Arizona.  Thank you for your time and consideration.",no_haystaq_bernie_obama#unbiased
"My name is Sara O'Krepki and I live in Scottsdale, AZ. I moved to Arizona from Louisiana
for work. I enjoy wa king my dog and discovering all that the great state of Arizona has to
offer.",other
NO Haystaq! Redistricting should be unbiased!,no_haystaq_bernie_obama#unbiased
"We should not be considering hiring Haystaq. This company is not bipartisan. We don't
trust anymore. Our political leaders need to earn our trust back. Haystaq has strong ties to
former Democrat leaders. I ask you to choose a bipartisan company only and they need to
prove it.",no_haystaq_bernie_obama
"I urgently request that the Commission not select the Haystaq  Mapping Firm as it has a
great deal of bias toward the Democrat Party.  This MUST be a fair and impartial process
to protect the voting rights of ALL Arizonans. Thank You.",no_haystaq_bernie_obama#unbiased
"We are completely opposed to the hiring of Haystaq as the company  to perform the
redistricting maps for the state of Arizona. It is our opinion that this company will not
perform and unbiased opinion when drawing the maps. This company is nothing more that
a reformed substitute of previous companies associated Former President Obama and
Bernie Sanders.",no_haystaq_bernie_obama#unbiased
"Good morning. I understand the commission is considering bringing in a company called
Haystaq to advise on our redistricting maps, and that this company is closely associated
with Obama and Sanders.  By absolutely no means should we be involving a blatantly
partisan  company - Whose idea was this? Who is getting paid for this preference? And,
HOW at all is this independent?!
As I write this I'm hearing excuses and rhetoric about trusting the choice, and a lack of
other options. It sounds as if the commission has made its decision despite the comments
that are in the process of being submitted. Look at the youtube viewership. The people do
NOT accept this! We are watching more closely than ever. It's CRITICAL that you stand
up and do what's right. We are Watching Closely. Keep Liberal Manipulation OUT of our
state. They want us like it's nobody's business. Think of your children if not your careers.
Thank you",no_haystaq_bernie_obama#other
It is inappropriate to use Haystaq with their bias for AZ redistricting.,no_haystaq_bernie_obama#unbiased
"Hi my name is Charlotte Perez and I’ve lived in Arizona for about a year and a half now. I
work for a non-profit and I truly believe that when it comes to redistricting this is not
political issue. Having HAYSTAQ, a Bernie sanders consulting firm, makes redistricting
political and they should not be in charge of this.",no_haystaq_bernie_obama#other
"Do not include
Haystaq.
Redistricting
should be
unbiased.
Redistricting is a bipartisan process. No bias should be involved on either side.",no_haystaq_bernie_obama#unbiased
"I strongly oppose using haystackdna as a redistricting company due to their biased past
history",no_haystaq_bernie_obama#unbiased
They're too political to be redrawing district lines...,other
"The last meeting in April - the executive session consumed the entire course of the
meeting allowing ZERO, or no transparency as to the conduct of business by the
commission.  I seriously doubt that ALL of the content of the many hours (appeared to be
>7 hours on the youtube video) were all outside of the scope not available to the public.
Please make the process more transparent and open to the public.",ES#other
"Bernie
Sanders
should not be
allowed  to be
changing the
voting
boundaries in
the state of
Arizona
Bernie Sanders should not be allowed to be changing the voting boundaries / redrawing
the maps in the state of Arizona. This is not political. Should be left out of this",no_haystaq_bernie_obama
"Bernie and Obama should have zero say on what are maps look like  AND they are
funded by them on the National level. WE THE PEOPLE will fight this",no_haystaq_bernie_obama
"As an Arizona voter from Tucson, I find it very inappropriate that the IRC is considering to
use such a biased firm. Haystaq's own website speaks to its bias to the left. It highlights its
work done for Obama and Sanders. If this commission wants to work in an open and fair
process, they are certainly going down the wrong road. I strongly urge the commission to
not use this biased firm. Nothing good will come from this decision.  Thanks for your
consideration, Tim Servati",no_haystaq_bernie_obama#unbiased#other
"SAY NO TO USING THIS COMPANY. https://haystaqdna.com/.  All it takes is a little
research to see they are extreme partisans and AZ needs to have a credible, trustworthy,
honest and open redistricting process and Haystaqdna is far from it.
Do your research of each member in this company.  Check their Twitter accounts and
social media comments and you will see they can not be FAIR.
SAY NO TO HAYSTAQDNA !!!  There are many others to choose from !!",no_haystaq_bernie_obama#other
"I stongly Disagree with hiring the of the Haystaq company for management of our
redistricting map in AZ due to biased influence and ties to bias influence.  This is not in the
best interest of Arizona and its citizens.  This is not acceptable",no_haystaq_bernie_obama#unbiased
"Haystaq is a partisan company affiliated with Barack Obama and Bernie Sanders.
Redistricting should be done by an independent, unbiased third-party vendor, NOT by a
partisan vendor like Haystaq.
You are and will be accountable for the selection of and performance of any redistricting
company. Dismissing the will of your constituents by expressing a desire to be more
transparent while not being transparent is disingenuous at best.",no_haystaq_bernie_obama#unbiased
"Theres no reason why Bernies consulting group should have sway over an independent
commission they will have a bias and will find ways to manipulate the system.",no_haystaq_bernie_obama#unbiased
"It is inappropriate and biased to consider using a company supported by Bernie Sanders
and Barack Obama for the Redistricting mapping process. Sanders and Obama have no
right to dictate what happens in Arizona. Zero. None.",no_haystaq_bernie_obama#unbiased
"It is inappropriate it is to use Haystaq, because it is a known, biased company for the
Redistricting mapping process. Bernie and Obama should have zero say in what our maps
look like and these guys are funded by them at the national level.",no_haystaq_bernie_obama#unbiased
